101,NaN,7.2373
102,NaN,13.694
103,NaN,7.6693
104,NaN,6.6148
105,NaN,8.2392
106,NaN,6.1356
107,NaN,NaN
108,NaN,NaN
109,NaN,9.7681
110,NaN,NaN
111,NaN,NaN
112,NaN,2.6515
113,NaN,NaN
114,NaN,7.8684
115,NaN,9.6958
116,NaN,2.9377
117,NaN,5.906
118,NaN,2.6515
119,NaN,8.4021
120,NaN,NaN
121,NaN,9.9536
122,NaN,3.3859
123,NaN,5.1675
124,NaN,4.1616
125,NaN,9.2071
126,NaN,2.3998
127,NaN,5.0342
128,NaN,7.1779
129,NaN,5.7564
130,NaN,3.5484
131,NaN,6.8467
132,NaN,2.1479
133,NaN,9.4994
134,NaN,5.1161
135,NaN,3.0152
136,NaN,5.5255
137,NaN,8.2945
